LAST SEEN             TYPE      REASON                   OBJECT                                  MESSAGE
57m                   Normal    Created                  Pod/cilium-2hgp6                        Created container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-2hgp6                        Started container clean-cilium-state
57m                   Normal    Pulled                   Pod/cilium-r754d                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-9qvc6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-9qvc6                        Created container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-dgnb4                        Started container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-qrt92                        Started container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-8f5jf                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-9qvc6                        Started container install-cni-binaries
57m                   Normal    Created                  Pod/cilium-r754d                        Created container clean-cilium-state
57m                   Normal    Created                  Pod/cilium-g8nx9                        Created container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-r754d                        Started container clean-cilium-state
57m                   Normal    Created                  Pod/cilium-r754d                        Created container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-r754d                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-r754d                        Started container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-g8nx9                        Started container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-8f5jf                        Started container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-sbz22                        Started container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-dgnb4                        Started container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-2hgp6                        Started container install-cni-binaries
57m                   Normal    Created                  Pod/cilium-2hgp6                        Created container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-2hgp6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-b54lh                        Started container install-cni-binaries
57m                   Normal    Started                  Pod/cilium-operator-5bd5fbd99d-pwspd    Started container cilium-operator
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Created                  Pod/cilium-dgnb4                        Created container cilium-agent
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-sbz22                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-b54lh                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-8f5jf                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Created                  Pod/cilium-8f5jf                        Created container cilium-agent
57m (x2 over 57m)     Normal    Created                  Pod/cilium-sbz22                        Created container cilium-agent
57m (x2 over 57m)     Normal    Created                  Pod/cilium-b54lh                        Created container cilium-agent
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-9qvc6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Created                  Pod/cilium-qrt92                        Created container cilium-agent
57m                   Normal    Created                  Pod/cilium-operator-5bd5fbd99d-pwspd    Created container cilium-operator
57m (x2 over 57m)     Normal    Created                  Pod/cilium-9qvc6                        Created container cilium-agent
57m                   Normal    Pulled                   Pod/cilium-operator-5bd5fbd99d-pwspd    Successfully pulled image "quay.io/cilium/operator-generic:v1.18.2@sha256:cb4e4ffc5789fd5ff6a534e3b1460623df61cba00f5ea1c7b40153b5efb81805" in 6.584s (6.584s including waiting)
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-g8nx9                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Created                  Pod/cilium-g8nx9                        Created container cilium-agent
57m (x2 over 57m)     Normal    Created                  Pod/cilium-2hgp6                        Created container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-r754d                        Started container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-dgnb4                        Started container cilium-agent
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-r754d                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Started                  Pod/cilium-qrt92                        Started container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-2hgp6                        Started container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-8f5jf                        Started container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-sbz22                        Started container cilium-agent
57m (x2 over 57m)     Normal    Pulled                   Pod/cilium-2hgp6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m (x2 over 57m)     Normal    Created                  Pod/cilium-r754d                        Created container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-b54lh                        Started container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-g8nx9                        Started container cilium-agent
57m (x2 over 57m)     Normal    Started                  Pod/cilium-9qvc6                        Started container cilium-agent
52m (x33 over 57m)    Warning   BackOff                  Pod/cilium-sbz22                        Back-off restarting failed container cilium-agent in pod cilium-sbz22_kube-system(030e05ab-ee30-4e2f-9813-fbe280480470)
